[07/09/22 17:35:11] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 32 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7222 b				SWAP Usage: 13184606208 b				SWAP Free: 9831579648 b
[07/09/22 17:35:16] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 21 %				CPU Clock: 0 MHz				CPU Temp: 48 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7211 b				SWAP Usage: 13184094208 b				SWAP Free: 9832091648 b
[07/09/22 17:35:25] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 30 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7221 b				SWAP Usage: 13187313664 b				SWAP Free: 9828872192 b
[07/09/22 17:35:29] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 24 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7212 b				SWAP Usage: 13197484032 b				SWAP Free: 9818701824 b
[07/09/22 17:35:48] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 20 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 8 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7201 b				SWAP Usage: 13168975872 b				SWAP Free: 9847209984 b
[07/09/22 17:35:53] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 36 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7216 b				SWAP Usage: 13163089920 b				SWAP Free: 9853095936 b
[07/09/22 17:35:59] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 20 %				CPU Clock: 0 MHz				CPU Temp: 36 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7201 b				SWAP Usage: 13166936064 b				SWAP Free: 9849249792 b
[07/09/22 17:36:04] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 27 %				CPU Clock: 0 MHz				CPU Temp: 38 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7195 b				SWAP Usage: 13166194688 b				SWAP Free: 9849991168 b
[07/09/22 17:36:09] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 18 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7201 b				SWAP Usage: 13165035520 b				SWAP Free: 9851150336 b
[07/09/22 17:36:15] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 27 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7198 b				SWAP Usage: 13162852352 b				SWAP Free: 9853333504 b
